nm_municipio,votos_deputado,valor_emenda,market_share,idh,populacao,votos_per_capita,emenda_per_capita,categoria_idh
BREJO ALEGRE,1,0.0,2.2175899232713886e-05,0.71,2594.0,0.00038550501156515033,0.0,Alto
BARRETOS,133,0.0,0.0029493945979509467,0.789,112730.0,0.0011798101658830834,0.0,Alto
CANAS,2,0.0,4.435179846542777e-05,0.704,4445.0,0.0004499437570303712,0.0,Alto
BARRINHA,15,0.0,0.0003326384884907083,0.725,28826.0,0.0005203635606743912,0.0,Alto
PRACINHA,0,0.0,0.0,0.696,2968.0,0.0,0.0,Médio
BARUERI,262,0.0,0.005810085598971038,0.786,243242.0,0.001077116616373817,0.0,Alto
PRATANIA,2,0.0,4.435179846542777e-05,0.701,4649.0,0.00043020004302000433,0.0,Alto
BASTOS,11,0.0,0.00024393489155985276,0.751,20435.0,0.0005382921458282359,0.0,Alto
QUADRA,1,0.0,2.2175899232713886e-05,0.678,3281.0,0.00030478512648582747,0.0,Médio
BATATAIS,295,0.0,0.006541890273650597,0.761,56888.0,0.0051856279004359445,0.0,Alto
